hotel,is_canceled,lead_time,arrival_date,market_segment,adr,reservation_status,reservation_status_date
Resort Hotel,0,127,?,Offline TA/TO,94.95,Check-Out,2023-02-19
Resort Hotel,0,7,?,Direct,75,Check-Out,2023-02-20
Resort Hotel,0,13,?,Corporate,75,Check-Out,2023-02-21
Resort Hotel,1,12,?,Online TA,88.2,Check-Out,2023-02-22
Resort Hotel,0,0,?,Corporate,107.42,Check-Out,2023-02-23
Resort Hotel,0,14,?,Online TA,98,Check-Out,2023-02-24
Resort Hotel,1,0,?,Direct,107,Check-Out,2023-02-25
Resort Hotel,1,9,?,Direct,103,Check-Out,2023-02-26
Resort Hotel,1,3,?,Online TA,88.2,Check-Out,2023-02-27
Resort Hotel,0,1,?,Online TA,147,Check-Out,2023-02-28
Resort Hotel,0,1,?,Direct,107,Check-Out,2023-03-01
Resort Hotel,0,0,?,Direct,147,Check-Out,2023-03-02
Resort Hotel,0,0,?,Online TA,117.9,Check-Out,2023-03-03
Resort Hotel,0,0,?,Direct,123,Check-Out,2023-03-04
Resort Hotel,1,62,?,Online TA,97,Canceled,2023-03-05
Resort Hotel,0,14,?,Online TA,98,Check-Out,2023-03-06
Resort Hotel,1,10,?,Online TA,117.81,Check-Out,2023-03-07
Resort Hotel,0,5,?,Online TA,135,Check-Out,2023-03-08
Resort Hotel,1,35,?,Online TA,145,Check-Out,2023-03-09
Resort Hotel,1,68,?,Online TA,97,Check-Out,2023-03-10
Resort Hotel,1,18,?,Online TA,154.77,Check-Out,2023-03-11
Resort Hotel,1,37,?,Online TA,94.71,Check-Out,2023-03-12
Resort Hotel,1,68,?,Online TA,97,Check-Out,2023-03-13
Resort Hotel,1,37,?,Offline TA/TO,97.5,Check-Out,2023-03-14
Resort Hotel,0,7,?,Direct,153,Check-Out,2023-03-15
Resort Hotel,1,17,?,Direct,133,Check-Out,2023-03-16
Resort Hotel,1,93,?,Offline TA/TO,58.95,Check-Out,2023-03-17
Resort Hotel,1,10,?,Online TA,153,Check-Out,2023-03-18
Resort Hotel,1,3,?,Online TA,110.5,Check-Out,2023-03-19
Resort Hotel,1,51,?,Online TA,97,Check-Out,2023-03-20
Resort Hotel,1,2,?,Offline TA/TO,91.5,Check-Out,2023-03-21
Resort Hotel,0,37,?,Online TA,97.29,Check-Out,2023-03-22
Resort Hotel,0,15,?,Online TA,98,Check-Out,2023-03-23
Resort Hotel,0,36,?,Online TA,108.8,Check-Out,2023-03-24
Resort Hotel,0,72,?,Direct,84.67,Check-Out,2023-03-25
Resort Hotel,0,72,?,Direct,99.67,Check-Out,2023-03-26
Resort Hotel,0,70,?,Direct,137,Check-Out,2023-03-27
Resort Hotel,0,45,?,Offline TA/TO,79.5,Check-Out,2023-03-28
Resort Hotel,0,16,?,Direct,123,Check-Out,2023-03-29
Resort Hotel,0,78,?,Offline TA/TO,63.6,Check-Out,2023-03-30
Resort Hotel,0,48,?,Offline TA/TO,79.5,Check-Out,2023-03-31
Resort Hotel,0,77,?,Online TA,94,Check-Out,2023-04-01
Resort Hotel,0,99,?,Online TA,87.3,Check-Out,2023-04-02
Resort Hotel,0,69,?,Offline TA/TO,65.5,Check-Out,2023-04-03
Resort Hotel,0,107,?,Online TA,110.7,Check-Out,2023-04-04
Resort Hotel,0,96,?,Offline TA/TO,58.95,Check-Out,2023-04-05
Resort Hotel,0,113,?,Offline TA/TO,82.88,Check-Out,2023-04-06
Resort Hotel,0,90,?,Offline TA/TO,82.35,Check-Out,2023-04-07
Resort Hotel,0,50,?,Online TA,119.35,Check-Out,2023-04-08
Resort Hotel,1,113,?,Offline TA/TO,67.58,Check-Out,2023-04-09
Resort Hotel,0,93,?,Offline TA/TO,56.01,Check-Out,2023-04-10
Resort Hotel,0,118,?,Direct,62,Check-Out,2023-04-11
Resort Hotel,0,95,?,Offline TA/TO,63.86,Check-Out,2023-04-12
Resort Hotel,0,76,?,Offline TA/TO,110.7,Check-Out,2023-04-13
